RedFighter,BlueFighter,Location,TotalFightTimeSecs,FinishRoundTime,WeightClass,Date,Winner,FinishDetails,Finish
Sultan Aliev,Keita Nakamura,"Saint Petersburg, Saint Petersburg, Russia",900.0,5:00,Welterweight,2019-04-20,Red,,U-DEC
Alexander Yakovlev,Alex Da Silva,"Saint Petersburg, Saint Petersburg, Russia",490.0,3:10,Lightweight,2019-04-20,Red,Other - Choke,SUB
Marcin Tybura,Shamil Abdurakhimov,"Saint Petersburg, Saint Petersburg, Russia",495.0,3:15,Heavyweight,2019-04-20,Blue,Punches,KO/TKO
Gadzhimurad Antigulov,Michal Oleksiejczuk,"Saint Petersburg, Saint Petersburg, Russia",44.0,0:44,Light Heavyweight,2019-04-20,Blue,Punch,KO/TKO
Magomed Mustafaev,Rafael Fiziev,"Saint Petersburg, Saint Petersburg, Russia",86.0,1:26,Lightweight,2019-04-20,Red,Spinning Back Kick,KO/TKO
Max Holloway,Dustin Poirier,"Atlanta, Georgia, USA",1500.0,5:00,Lightweight,2019-04-13,Blue,,U-DEC
Kelvin Gastelum,Israel Adesanya,"Atlanta, Georgia, USA",1500.0,5:00,Middleweight,2019-04-13,Blue,,U-DEC
Eryk Anders,Khalil Rountree Jr.,"Atlanta, Georgia, USA",900.0,5:00,Light Heavyweight,2019-04-13,Blue,,U-DEC
Alan Jouban,Dwight Grant,"Atlanta, Georgia, USA",900.0,5:00,Welterweight,2019-04-13,Blue,,S-DEC
Ovince Saint Preux,Nikita Krylov,"Atlanta, Georgia, USA",450.0,2:30,Light Heavyweight,2019-04-13,Blue,Rear Naked Choke,SUB
Jalin Turner,Matt Frevola,"Atlanta, Georgia, USA",900.0,5:00,Lightweight,2019-04-13,Blue,,U-DEC
Wilson Reis,Alexandre Pantoja,"Atlanta, Georgia, USA",178.0,2:58,Flyweight,2019-04-13,Blue,Punch,KO/TKO
Max Griffin,Zelim Imadaev,"Atlanta, Georgia, USA",900.0,5:00,Welterweight,2019-04-13,Red,,M-DEC
Boston Salmon,Khalid Taha,"Atlanta, Georgia, USA",25.0,0:25,Bantamweight,2019-04-13,Blue,Punch,KO/TKO
Curtis Millender,Belal Muhammad,"Atlanta, Georgia, USA",900.0,5:00,Welterweight,2019-04-13,Blue,,U-DEC
Montel Jackson,Andre Soukhamthath,"Atlanta, Georgia, USA",900.0,5:00,Bantamweight,2019-04-13,Red,,U-DEC
Lauren Mueller,Poliana Botelho,"Atlanta, Georgia, USA",900.0,5:00,Women's Flyweight,2019-04-13,Blue,,U-DEC
Brandon Davis,Randy Costa,"Atlanta, Georgia, USA",372.0,1:12,Bantamweight,2019-04-13,Red,Rear Naked Choke,SUB
Edson Barboza,Justin Gaethje,"Philadelphia, Pennsylvania, USA",150.0,2:30,Lightweight,2019-03-30,Blue,Punch,KO/TKO
David Branch,Jack Hermansson,"Philadelphia, Pennsylvania, USA",49.0,0:49,Middleweight,2019-03-30,Blue,Guillotine Choke,SUB
Josh Emmett,Michael Johnson,"Philadelphia, Pennsylvania, USA",854.0,4:14,Featherweight,2019-03-30,Red,Punch,KO/TKO
Karolina Kowalkiewicz,Michelle Waterson,"Philadelphia, Pennsylvania, USA",900.0,5:00,Women's Strawweight,2019-03-30,Blue,,U-DEC
Kennedy Nzechukwu,Paul Craig,"Philadelphia, Pennsylvania, USA",860.0,4:20,Light Heavyweight,2019-03-30,Blue,Triangle Choke,SUB
Sodiq Yusuff,Sheymon Moraes,"Philadelphia, Pennsylvania, USA",900.0,5:00,Featherweight,2019-03-30,Red,,U-DEC
Marina Rodriguez,Jessica Aguilar,"Philadelphia, Pennsylvania, USA",900.0,5:00,Women's Strawweight,2019-03-30,Red,,U-DEC
Ross Pearson,Desmond Green,"Philadelphia, Pennsylvania, USA",172.0,2:52,Lightweight,2019-03-30,Blue,Punches,KO/TKO
Enrique Barzola,Kevin Aguilar,"Philadelphia, Pennsylvania, USA",900.0,5:00,Featherweight,2019-03-30,Blue,,U-DEC
Kevin Holland,Gerald Meerschaert,"Philadelphia, Pennsylvania, USA",900.0,5:00,Middleweight,2019-03-30,Red,,S-DEC
Ray Borg,Casey Kenney,"Philadelphia, Pennsylvania, USA",900.0,5:00,Bantamweight,2019-03-30,Blue,,U-DEC
Sabina Mazo,Maryna Moroz,"Philadelphia, Pennsylvania, USA",900.0,5:00,Women's Flyweight,2019-03-30,Blue,,U-DEC
Alex Perez,Mark De La Rosa,"Philadelphia, Pennsylvania, USA",900.0,5:00,Bantamweight,2019-03-30,Red,,U-DEC
Stephen Thompson,Anthony Pettis,"Nashville, Tennessee, USA",595.0,4:55,Welterweight,2019-03-23,Blue,Punch,KO/TKO
Curtis Blaydes,Justin Willis,"Nashville, Tennessee, USA",900.0,5:00,Heavyweight,2019-03-23,Red,,U-DEC
John Makdessi,Jesus Pinedo,"Nashville, Tennessee, USA",900.0,5:00,Lightweight,2019-03-23,Red,,U-DEC
Jussier Formiga,Deiveson Figueiredo,"Nashville, Tennessee, USA",900.0,5:00,Flyweight,2019-03-23,Red,,U-DEC
Luis Pena,Steven Peterson,"Nashville, Tennessee, USA",900.0,5:00,Featherweight,2019-03-23,Red,,U-DEC
Maycee Barber,JJ Aldrich,"Nashville, Tennessee, USA",481.0,3:01,Women's Flyweight,2019-03-23,Red,Punches,KO/TKO
Bryce Mitchell,Bobby Moffett,"Nashville, Tennessee, USA",900.0,5:00,Featherweight,2019-03-23,Red,,U-DEC
Marlon Vera,Frankie Saenz,"Nashville, Tennessee, USA",85.0,1:25,Bantamweight,2019-03-23,Red,Punch,KO/TKO
Alexis Davis,Jennifer Maia,"Nashville, Tennessee, USA",900.0,5:00,Women's Flyweight,2019-03-23,Blue,,U-DEC
Randa Markos,Angela Hill,"Nashville, Tennessee, USA",264.0,4:24,Women's Strawweight,2019-03-23,Red,Armbar,SUB
Ryan MacDonald,Chris Gutierrez,"Nashville, Tennessee, USA",900.0,5:00,Bantamweight,2019-03-23,Blue,,U-DEC
Eric Shelton,Jordan Espinosa,"Nashville, Tennessee, USA",900.0,5:00,Flyweight,2019-03-23,Blue,,U-DEC
Darren Till,Jorge Masvidal,"London, England, United Kingdom",485.0,3:05,Welterweight,2019-03-16,Blue,Punch,KO/TKO
Leon Edwards,Gunnar Nelson,"London, England, United Kingdom",900.0,5:00,Welterweight,2019-03-16,Red,,S-DEC
Volkan Oezdemir,Dominick Reyes,"London, England, United Kingdom",900.0,5:00,Light Heavyweight,2019-03-16,Blue,,S-DEC
Nathaniel Wood,Jose Quinonez,"London, England, United Kingdom",466.0,2:46,Bantamweight,2019-03-16,Red,Rear Naked Choke,SUB
Danny Roberts,Claudio Silva,"London, England, United Kingdom",757.0,2:37,Welterweight,2019-03-16,Blue,Armbar,SUB
Jack Marshman,John Phillips,"London, England, United Kingdom",900.0,5:00,Middleweight,2019-03-16,Red,,S-DEC
Arnold Allen,Jordan Rinaldi,"London, England, United Kingdom",900.0,5:00,Featherweight,2019-03-16,Red,,U-DEC
Marc Diakiese,Joe Duffy,"London, England, United Kingdom",900.0,5:00,Lightweight,2019-03-16,Red,,U-DEC
Nicolae Negumereanu,Saparbeg Safarov,"London, England, United Kingdom",900.0,5:00,Light Heavyweight,2019-03-16,Blue,,U-DEC
Danny Henry,Dan Ige,"London, England, United Kingdom",77.0,1:17,Featherweight,2019-03-16,Blue,Rear Naked Choke,SUB
Molly McCann,Priscila Cachoeira,"London, England, United Kingdom",900.0,5:00,Women's Flyweight,2019-03-16,Red,,U-DEC
Mike Grundy,Nad Narimani,"London, England, United Kingdom",582.0,4:42,Featherweight,2019-03-16,Red,Punches,KO/TKO
Derrick Lewis,Junior Dos Santos,"Wichita, Kansas, USA",418.0,1:58,Heavyweight,2019-03-09,Blue,Punches,KO/TKO
Elizeu Zaleski dos Santos,Curtis Millender,"Wichita, Kansas, USA",155.0,2:35,Welterweight,2019-03-09,Red,Rear Naked Choke,SUB
Tim Means,Niko Price,"Wichita, Kansas, USA",290.0,4:50,Welterweight,2019-03-09,Blue,Punch,KO/TKO
Blagoy Ivanov,Ben Rothwell,"Wichita, Kansas, USA",900.0,5:00,Heavyweight,2019-03-09,Red,,U-DEC
Beneil Dariush,Drew Dober,"Wichita, Kansas, USA",581.0,4:41,Lightweight,2019-03-09,Red,Armbar,SUB
Tim Boetsch,Omari Akhmedov,"Wichita, Kansas, USA",900.0,5:00,Middleweight,2019-03-09,Blue,,U-DEC
Anthony Rocco Martin,Sergio Moraes,"Wichita, Kansas, USA",900.0,5:00,Welterweight,2019-03-09,Red,,U-DEC
Marion Reneau,Yana Kunitskaya,"Wichita, Kansas, USA",900.0,5:00,Women's Bantamweight,2019-03-09,Blue,,U-DEC
Grant Dawson,Julian Erosa,"Wichita, Kansas, USA",900.0,5:00,Featherweight,2019-03-09,Red,,U-DEC
Maurice Greene,Jeff Hughes,"Wichita, Kansas, USA",900.0,5:00,Heavyweight,2019-03-09,Red,,S-DEC
Louis Smolka,Matt Schnell,"Wichita, Kansas, USA",198.0,3:18,Bantamweight,2019-03-09,Blue,Triangle Choke,SUB
Alex Morono,Zak Ottow,"Wichita, Kansas, USA",214.0,3:34,Welterweight,2019-03-09,Red,Elbows,KO/TKO
Alex White,Dan Moret,"Wichita, Kansas, USA",900.0,5:00,Lightweight,2019-03-09,Red,,U-DEC
Jon Jones,Anthony Smith,"Las Vegas, Nevada, USA",1500.0,5:00,Light Heavyweight,2019-03-02,Red,,U-DEC
Tyron Woodley,Kamaru Usman,"Las Vegas, Nevada, USA",1500.0,5:00,Welterweight,2019-03-02,Blue,,U-DEC
Robbie Lawler,Ben Askren,"Las Vegas, Nevada, USA",200.0,3:20,Welterweight,2019-03-02,Blue,Other - Choke,SUB
Tecia Torres,Weili Zhang,"Las Vegas, Nevada, USA",900.0,5:00,Women's Strawweight,2019-03-02,Blue,,U-DEC
Cody Garbrandt,Pedro Munhoz,"Las Vegas, Nevada, USA",292.0,4:52,Bantamweight,2019-03-02,Blue,Punch,KO/TKO
Jeremy Stephens,Zabit Magomedsharipov,"Las Vegas, Nevada, USA",900.0,5:00,Featherweight,2019-03-02,Blue,,U-DEC
Misha Cirkunov,Johnny Walker,"Las Vegas, Nevada, USA",36.0,0:36,Light Heavyweight,2019-03-02,Blue,Flying Knee,KO/TKO
Cody Stamann,Alejandro Perez,"Las Vegas, Nevada, USA",900.0,5:00,Bantamweight,2019-03-02,Red,,U-DEC
Diego Sanchez,Mickey Gall,"Las Vegas, Nevada, USA",553.0,4:13,Welterweight,2019-03-02,Red,Punches,KO/TKO
Edmen Shahbazyan,Charles Byrd,"Las Vegas, Nevada, USA",38.0,0:38,Middleweight,2019-03-02,Red,Elbows,KO/TKO
Gina Mazany,Macy Chiasson,"Las Vegas, Nevada, USA",109.0,1:49,Women's Bantamweight,2019-03-02,Blue,Punch,KO/TKO
Polyana Viana,Hannah Cifers,"Las Vegas, Nevada, USA",900.0,5:00,Women's Strawweight,2019-03-02,Blue,,S-DEC
Jan Blachowicz,Thiago Santos,"Prague, Czech Republic",639.0,0:39,Light Heavyweight,2019-02-23,Blue,Punch,KO/TKO
Stefan Struve,Marcos Rogerio de Lima,"Prague, Czech Republic",441.0,2:21,Heavyweight,2019-02-23,Red,Arm Triangle,SUB
Gian Villante,Michal Oleksiejczuk,"Prague, Czech Republic",94.0,1:34,Light Heavyweight,2019-02-23,Blue,Punch,KO/TKO
Liz Carmouche,Lucie Pudilova,"Prague, Czech Republic",900.0,5:00,Women's Flyweight,2019-02-23,Red,,U-DEC
John Dodson,Petr Yan,"Prague, Czech Republic",900.0,5:00,Bantamweight,2019-02-23,Blue,,U-DEC
Magomed Ankalaev,Klidson Abreu,"Prague, Czech Republic",900.0,5:00,Light Heavyweight,2019-02-23,Red,,U-DEC
Dwight Grant,Carlo Pedersoli,"Prague, Czech Republic",,,Welterweight,2019-02-23,Red,,KO/TKO
Daniel Teymur,Chris Fishgold,"Prague, Czech Republic",370.0,1:10,Featherweight,2019-02-23,Blue,Rear Naked Choke,SUB
Veronica Macedo,Gillian Robertson,"Prague, Czech Republic",507.0,3:27,Women's Flyweight,2019-02-23,Blue,Rear Naked Choke,SUB
Damir Hadzovic,Polo Reyes,"Prague, Czech Republic",,,Lightweight,2019-02-23,Red,,U-DEC
Michel Prazeres,Ismail Naurdiev,"Prague, Czech Republic",900.0,5:00,Welterweight,2019-02-23,Blue,,U-DEC
Rustam Khabilov,Diego Ferreira,"Prague, Czech Republic",900.0,5:00,Lightweight,2019-02-23,Blue,,U-DEC
Damir Ismagulov,Joel Alvarez,"Prague, Czech Republic",900.0,5:00,Lightweight,2019-02-23,Red,,U-DEC
Francis Ngannou,Cain Velasquez,"Phoenix, Arizona, USA",26.0,0:26,Heavyweight,2019-02-17,Red,Punches,KO/TKO
James Vick,Paul Felder,"Phoenix, Arizona, USA",900.0,5:00,Lightweight,2019-02-17,Blue,,U-DEC
Cortney Casey,Cynthia Calvillo,"Phoenix, Arizona, USA",900.0,5:00,Women's Strawweight,2019-02-17,Blue,,U-DEC
Alex Caceres,Kron Gracie,"Phoenix, Arizona, USA",126.0,2:06,Featherweight,2019-02-17,Blue,Rear Naked Choke,SUB
Vicente Luque,Bryan Barberena,"Phoenix, Arizona, USA",894.0,4:54,Welterweight,2019-02-17,Red,Knee,KO/TKO
Andre Fili,Myles Jury,"Phoenix, Arizona, USA",900.0,5:00,Featherweight,2019-02-17,Red,,U-DEC
Jimmie Rivera,Aljamain Sterling,"Phoenix, Arizona, USA",900.0,5:00,Bantamweight,2019-02-17,Blue,,U-DEC
Benito Lopez,Manny Bermudez,"Phoenix, Arizona, USA",189.0,3:09,Bantamweight,2019-02-17,Blue,Guillotine Choke,SUB
Ashlee Evans-Smith,Andrea Lee,"Phoenix, Arizona, USA",900.0,5:00,Women's Flyweight,2019-02-17,Blue,,U-DEC
Scott Holtzman,Nik Lentz,"Phoenix, Arizona, USA",900.0,5:00,Lightweight,2019-02-17,Blue,,U-DEC
Renan Barao,Luke Sanders,"Phoenix, Arizona, USA",361.0,1:01,Bantamweight,2019-02-17,Blue,Punch,KO/TKO
Alexandra Albu,Emily Whitmire,"Phoenix, Arizona, USA",,,Women's Strawweight,2019-02-17,Blue,,U-DEC
Israel Adesanya,Anderson Silva,"Melbourne, Victoria, Australia",900.0,5:00,Middleweight,2019-02-09,Red,,U-DEC
Lando Vannata,Marcos Mariano,"Melbourne, Victoria, Australia",295.0,4:55,Lightweight,2019-02-09,Red,Kimura,SUB
Rani Yahya,Ricky Simon,"Melbourne, Victoria, Australia",900.0,5:00,Bantamweight,2019-02-09,Blue,,U-DEC
Montana De La Rosa,Nadia Kassem,"Melbourne, Victoria, Australia",457.0,2:37,Women's Flyweight,2019-02-09,Red,Armbar,SUB
Jimmy Crute,Sam Alvey,"Melbourne, Victoria, Australia",169.0,2:49,Light Heavyweight,2019-02-09,Red,Punches,KO/TKO
Devonte Smith,Dong Hyun Ma,"Melbourne, Victoria, Australia",233.0,3:53,Lightweight,2019-02-09,Red,Punch,KO/TKO
Shane Young,Austin Arnett,"Melbourne, Victoria, Australia",900.0,5:00,Featherweight,2019-02-09,Red,,U-DEC
Kai Kara-France,Raulian Paiva,"Melbourne, Victoria, Australia",900.0,5:00,Flyweight,2019-02-09,Red,,S-DEC
Teruto Ishihara,Kyung Ho Kang,"Melbourne, Victoria, Australia",239.0,3:59,Bantamweight,2019-02-09,Blue,Rear Naked Choke,SUB
Callan Potter,Jalin Turner,"Melbourne, Victoria, Australia",53.0,0:53,Lightweight,2019-02-09,Blue,Kick,KO/TKO
Wuliji Buren,Jonathan Martinez,"Melbourne, Victoria, Australia",900.0,5:00,Bantamweight,2019-02-09,Blue,,U-DEC
Raphael Assuncao,Marlon Moraes,"Fortaleza, Ceara, Brazil",197.0,3:17,Bantamweight,2019-02-02,Blue,Guillotine Choke,SUB
Jose Aldo,Renato Moicano,"Fortaleza, Ceara, Brazil",344.0,0:44,Featherweight,2019-02-02,Red,Punches,KO/TKO
Demian Maia,Lyman Good,"Fortaleza, Ceara, Brazil",158.0,2:38,Welterweight,2019-02-02,Red,Rear Naked Choke,SUB
Charles Oliveira,David Teymur,"Fortaleza, Ceara, Brazil",355.0,0:55,Lightweight,2019-02-02,Red,Anaconda Choke,SUB
Johnny Walker,Justin Ledet,"Fortaleza, Ceara, Brazil",15.0,0:15,Light Heavyweight,2019-02-02,Red,Spinning Back Fist,KO/TKO
Livinha Souza,Sarah Frota,"Fortaleza, Ceara, Brazil",900.0,5:00,Women's Strawweight,2019-02-02,Red,,S-DEC
Markus Perez,Anthony Hernandez,"Fortaleza, Ceara, Brazil",367.0,1:07,Middleweight,2019-02-02,Red,Anaconda Choke,SUB
Mara Romero Borella,Taila Santos,"Fortaleza, Ceara, Brazil",900.0,5:00,Women's Flyweight,2019-02-02,Red,,S-DEC
Thiago Alves,Max Griffin,"Fortaleza, Ceara, Brazil",900.0,5:00,Welterweight,2019-02-02,Red,,S-DEC
Junior Albini,Jairzinho Rozenstruik,"Fortaleza, Ceara, Brazil",354.0,0:54,Heavyweight,2019-02-02,Blue,Kick,KO/TKO
Geraldo de Freitas,Felipe Colares,"Fortaleza, Ceara, Brazil",900.0,5:00,Featherweight,2019-02-02,Red,,U-DEC
Ricardo Ramos,Said Nurmagomedov,"Fortaleza, Ceara, Brazil",148.0,2:28,Bantamweight,2019-02-02,Blue,Spinning Back Kick,KO/TKO
Magomed Bibulatov,Rogerio Bontorin,"Fortaleza, Ceara, Brazil",900.0,5:00,Flyweight,2019-02-02,Blue,,S-DEC
Henry Cejudo,TJ Dillashaw,"Brooklyn, New York, USA",32.0,0:32,Flyweight,2019-01-19,Red,Punches,KO/TKO
Greg Hardy,Allen Crowder,"Brooklyn, New York, USA",448.0,2:28,Heavyweight,2019-01-19,Blue,,DQ
Gregor Gillespie,Yancy Medeiros,"Brooklyn, New York, USA",599.0,4:59,Lightweight,2019-01-19,Red,Punches,KO/TKO
Joseph Benavidez,Dustin Ortiz,"Brooklyn, New York, USA",900.0,5:00,Flyweight,2019-01-19,Red,,U-DEC
Paige VanZant,Rachael Ostovich,"Brooklyn, New York, USA",410.0,1:50,Women's Flyweight,2019-01-19,Red,Armbar,SUB
Glover Teixeira,Karl Roberson,"Brooklyn, New York, USA",201.0,3:21,Light Heavyweight,2019-01-19,Red,Arm Triangle,SUB
Alexander Hernandez,Donald Cerrone,"Brooklyn, New York, USA",523.0,3:43,Lightweight,2019-01-19,Blue,Kick,KO/TKO
Joanne Calderwood,Ariane Lipski,"Brooklyn, New York, USA",900.0,5:00,Women's Flyweight,2019-01-19,Red,,U-DEC
Alonzo Menifield,Vinicius Moreira,"Brooklyn, New York, USA",236.0,3:56,Light Heavyweight,2019-01-19,Red,Punch,KO/TKO
Cory Sandhagen,Mario Bautista,"Brooklyn, New York, USA",211.0,3:31,Bantamweight,2019-01-19,Red,Armbar,SUB
Dennis Bermudez,Te Edwards,"Brooklyn, New York, USA",900.0,5:00,Lightweight,2019-01-19,Red,,U-DEC
Belal Muhammad,Geoff Neal,"Brooklyn, New York, USA",900.0,5:00,Welterweight,2019-01-19,Blue,,U-DEC
Kyle Stewart,Chance Rencountre,"Brooklyn, New York, USA",145.0,2:25,Welterweight,2019-01-19,Blue,Rear Naked Choke,SUB
Jon Jones,Alexander Gustafsson,"Los Angeles, California, USA",722.0,2:02,Light Heavyweight,2018-12-29,Red,Punches,KO/TKO
Cris Cyborg,Amanda Nunes,"Los Angeles, California, USA",,,Women's Featherweight,2018-12-29,Blue,,KO/TKO
Carlos Condit,Michael Chiesa,"Los Angeles, California, USA",356.0,0:56,Welterweight,2018-12-29,Blue,Kimura,SUB
Ilir Latifi,Corey Anderson,"Los Angeles, California, USA",900.0,5:00,Light Heavyweight,2018-12-29,Blue,,U-DEC
Chad Mendes,Alexander Volkanovski,"Los Angeles, California, USA",554.0,4:14,Featherweight,2018-12-29,Blue,Punches,KO/TKO
Cat Zingano,Megan Anderson,"Los Angeles, California, USA",61.0,1:01,Women's Featherweight,2018-12-29,Blue,Kick,KO/TKO
Douglas Silva de Andrade,Petr Yan,"Los Angeles, California, USA",600.0,5:00,Bantamweight,2018-12-29,Blue,,KO/TKO
BJ Penn,Ryan Hall,"Los Angeles, California, USA",166.0,2:46,Lightweight,2018-12-29,Blue,Heel Hook,SUB
Nathaniel Wood,Andre Ewell,"Los Angeles, California, USA",852.0,4:12,Bantamweight,2018-12-29,Red,Rear Naked Choke,SUB
Uriah Hall,Bevon Lewis,"Los Angeles, California, USA",692.0,1:32,Middleweight,2018-12-29,Red,Punch,KO/TKO
Curtis Millender,Siyar Bahadurzada,"Los Angeles, California, USA",900.0,5:00,Welterweight,2018-12-29,Red,,U-DEC
Brian Kelleher,Montel Jackson,"Los Angeles, California, USA",100.0,1:40,Bantamweight,2018-12-29,Blue,D'Arce Choke,SUB
Kevin Lee,Al Iaquinta,"Milwaukee, Wisconsin, USA",1500.0,5:00,Lightweight,2018-12-15,Blue,,U-DEC
Edson Barboza,Dan Hooker,"Milwaukee, Wisconsin, USA",739.0,2:19,Lightweight,2018-12-15,Red,Punches,KO/TKO
Rob Font,Sergio Pettis,"Milwaukee, Wisconsin, USA",900.0,5:00,Bantamweight,2018-12-15,Red,,U-DEC
Jim Miller,Charles Oliveira,"Milwaukee, Wisconsin, USA",75.0,1:15,Lightweight,2018-12-15,Blue,Rear Naked Choke,SUB
Zak Ottow,Dwight Grant,"Milwaukee, Wisconsin, USA",900.0,5:00,Welterweight,2018-12-15,Red,,S-DEC
Bobby Green,Drakkar Klose,"Milwaukee, Wisconsin, USA",900.0,5:00,Lightweight,2018-12-15,Blue,,U-DEC
Jared Gordon,Joaquim Silva,"Milwaukee, Wisconsin, USA",759.0,2:39,Lightweight,2018-12-15,Blue,Punches,KO/TKO
Gerald Meerschaert,Jack Hermansson,"Milwaukee, Wisconsin, USA",265.0,4:25,Middleweight,2018-12-15,Blue,Guillotine Choke,SUB
Trevor Smith,Zak Cummings,"Milwaukee, Wisconsin, USA",900.0,5:00,Middleweight,2018-12-15,Blue,,U-DEC
Dan Ige,Jordan Griffin,"Milwaukee, Wisconsin, USA",900.0,5:00,Featherweight,2018-12-15,Red,,U-DEC
Adam Milstead,Mike Rodriguez,"Milwaukee, Wisconsin, USA",179.0,2:59,Light Heavyweight,2018-12-15,Blue,Knee,KO/TKO
Chris de la Rocha,Juan Adams,"Milwaukee, Wisconsin, USA",658.0,0:58,Heavyweight,2018-12-15,Blue,Knee,KO/TKO
Max Holloway,Brian Ortega,"Toronto, Ontario, Canada",1200.0,5:00,Featherweight,2018-12-08,Red,,KO/TKO
Valentina Shevchenko,Joanna Jedrzejczyk,"Toronto, Ontario, Canada",1500.0,5:00,Women's Flyweight,2018-12-08,Red,,U-DEC
Alex Oliveira,Gunnar Nelson,"Toronto, Ontario, Canada",557.0,4:17,Welterweight,2018-12-08,Blue,Rear Naked Choke,SUB
Hakeem Dawodu,Kyle Bochniak,"Toronto, Ontario, Canada",900.0,5:00,Featherweight,2018-12-08,Red,,S-DEC
Jimi Manuwa,Thiago Santos,"Toronto, Ontario, Canada",341.0,0:41,Light Heavyweight,2018-12-08,Blue,Punch,KO/TKO
Claudia Gadelha,Nina Ansaroff,"Toronto, Ontario, Canada",900.0,5:00,Women's Strawweight,2018-12-08,Blue,,U-DEC
Olivier Aubin-Mercier,Gilbert Burns,"Toronto, Ontario, Canada",900.0,5:00,Lightweight,2018-12-08,Blue,,U-DEC
Katlyn Chookagian,Jessica Eye,"Toronto, Ontario, Canada",900.0,5:00,Women's Flyweight,2018-12-08,Blue,,S-DEC
Elias Theodorou,Eryk Anders,"Toronto, Ontario, Canada",900.0,5:00,Middleweight,2018-12-08,Red,,S-DEC
Brad Katona,Matthew Lopez,"Toronto, Ontario, Canada",900.0,5:00,Bantamweight,2018-12-08,Red,,U-DEC
Chad Laprise,Dhiego Lima,"Toronto, Ontario, Canada",97.0,1:37,Welterweight,2018-12-08,Blue,Punch,KO/TKO
Diego Ferreira,Kyle Nelson,"Toronto, Ontario, Canada",383.0,1:23,Lightweight,2018-12-08,Red,Punches,KO/TKO
Devin Clark,Aleksandar Rakic,"Toronto, Ontario, Canada",245.0,4:05,Light Heavyweight,2018-12-08,Blue,Spinning Back Fist,KO/TKO
Junior Dos Santos,Tai Tuivasa,"Adelaide, South Australia, Australia",450.0,2:30,Heavyweight,2018-12-01,Red,Punches,KO/TKO
Mauricio Rua,Tyson Pedro,"Adelaide, South Australia, Australia",643.0,0:43,Light Heavyweight,2018-12-01,Red,Punches,KO/TKO
Mark Hunt,Justin Willis,"Adelaide, South Australia, Australia",900.0,5:00,Heavyweight,2018-12-01,Blue,,U-DEC
Jake Matthews,Anthony Rocco Martin,"Adelaide, South Australia, Australia",679.0,1:19,Welterweight,2018-12-01,Blue,Anaconda Choke,SUB
Suman Mokhtarian,Sodiq Yusuff,"Adelaide, South Australia, Australia",134.0,2:14,Featherweight,2018-12-01,Blue,Punches,KO/TKO
Jimmy Crute,Paul Craig,"Adelaide, South Australia, Australia",891.0,4:51,Light Heavyweight,2018-12-01,Red,Kimura,SUB
Yushin Okami,Aleksei Kunchenko,"Adelaide, South Australia, Australia",900.0,5:00,Welterweight,2018-12-01,Blue,,U-DEC
Wilson Reis,Ben Nguyen,"Adelaide, South Australia, Australia",900.0,5:00,Flyweight,2018-12-01,Red,,U-DEC
Keita Nakamura,Salim Touahri,"Adelaide, South Australia, Australia",900.0,5:00,Welterweight,2018-12-01,Red,,S-DEC
Elias Garcia,Kai Kara-France,"Adelaide, South Australia, Australia",900.0,5:00,Flyweight,2018-12-01,Blue,,U-DEC
Mizuto Hirota,Christos Giagos,"Adelaide, South Australia, Australia",900.0,5:00,Lightweight,2018-12-01,Blue,,U-DEC
Alex Gorgees,Damir Ismagulov,"Adelaide, South Australia, Australia",900.0,5:00,Lightweight,2018-12-01,Blue,,U-DEC
Rafael Dos Anjos,Kamaru Usman,"Las Vegas, Nevada, USA",1500.0,5:00,Welterweight,2018-11-30,Blue,,U-DEC
Juan Espino,Justin Frazier,"Las Vegas, Nevada, USA",216.0,3:36,Heavyweight,2018-11-30,Red,Armbar,SUB
Pannie Kianzad,Macy Chiasson,"Las Vegas, Nevada, USA",431.0,2:11,Women's Featherweight,2018-11-30,Blue,Rear Naked Choke,SUB
Pedro Munhoz,Bryan Caraway,"Las Vegas, Nevada, USA",159.0,2:39,Bantamweight,2018-11-30,Red,Kick,KO/TKO
Darren Stewart,Edmen Shahbazyan,"Las Vegas, Nevada, USA",900.0,5:00,Middleweight,2018-11-30,Blue,,S-DEC
Ji Yeon Kim,Antonina Shevchenko,"Las Vegas, Nevada, USA",900.0,5:00,Women's Flyweight,2018-11-30,Blue,,U-DEC
Rick Glenn,Kevin Aguilar,"Las Vegas, Nevada, USA",900.0,5:00,Featherweight,2018-11-30,Blue,,U-DEC
Joseph Benavidez,Alex Perez,"Las Vegas, Nevada, USA",259.0,4:19,Flyweight,2018-11-30,Red,Punches,KO/TKO
Maurice Greene,Michel Batista,"Las Vegas, Nevada, USA",134.0,2:14,Heavyweight,2018-11-30,Red,Triangle Choke,SUB
Julija Stoliarenko,Leah Letson,"Las Vegas, Nevada, USA",900.0,5:00,Women's Featherweight,2018-11-30,Blue,,S-DEC
Roosevelt Roberts,Darrell Horcher,"Las Vegas, Nevada, USA",290.0,4:50,Lightweight,2018-11-30,Red,Guillotine Choke,SUB
Tim Means,Ricky Rainey,"Las Vegas, Nevada, USA",78.0,1:18,Welterweight,2018-11-30,Red,Punches,KO/TKO
Raoni Barcelos,Chris Gutierrez,"Las Vegas, Nevada, USA",552.0,4:12,Bantamweight,2018-11-30,Red,Rear Naked Choke,SUB
