Year,Month,Day,Full-Date,Fighter,Color,Country,Winner,TitleBout,WeightClass,Gender,NumberRounds,Avg-SSL,Avg-SSP,Avg-SA,Avg-TDL,Avg-TDP,Stance,Height,Reach,Weight,Age,Finish,Details,F-Round,F-RoundTime,Fight-Secs,Wins-DM,Wins-DS,Wins-DU,Wins-KO,Wins-S,Wins-TKOS,Wins-T
2024,10,26,20241026,Mateusz Rebecki,Red,United Arab Emirates,1,FALSE,Catch Weight,MALE,3,4.7,0.48,0.8,3.84,0.75,Southpaw,170.18,167.64,155,31,S-DEC,,3,300,900,0,0,1,1,2,0,4
2024,10,26,20241026,Abus Magomedov,Red,United Arab Emirates,1,FALSE,Middleweight,MALE,3,2.65,0.44,0.3,3.12,0.64,Orthodox,187.96,198.12,185,34,SUB,Arm Triangle,3,194,794,0,0,1,1,0,0,2
2024,10,26,20241026,Kennedy Nzechukwu,Red,United Arab Emirates,1,FALSE,Heavyweight,MALE,3,5.34,0.47,0.2,0.58,0.45,Southpaw,195.58,210.82,205,32,KO/TKO,Knee,1,267,267,0,1,1,5,1,0,8
2024,10,26,20241026,Farid Basharat,Red,United Arab Emirates,1,FALSE,Featherweight,MALE,3,4.36,0.55,0.5,3.97,0.44,Orthodox,172.72,180.34,135,27,U-DEC,,3,300,900,0,0,3,0,1,0,4
2024,10,26,20241026,Ismail Naurdiev,Red,United Arab Emirates,1,FALSE,Middleweight,MALE,3,3.41,0.53,0.2,1.6,0.4,Orthodox,177.8,187.96,185,28,U-DEC,,3,300,900,0,0,2,0,0,0,2
2024,10,26,20241026,Rinat Fakhretdinov,Red,United Arab Emirates,1,FALSE,Welterweight,MALE,3,4.78,0.52,0.2,3.95,0.34,Orthodox,182.88,187.96,170,33,U-DEC,,3,300,900,0,1,2,0,1,0,4
2024,10,19,20241019,Anthony Hernandez,Red,USA,1,FALSE,Middleweight,MALE,5,4.9,0.63,2.3,6.64,0.44,Orthodox,182.88,190.5,185,31,KO/TKO,Elbows,5,142,1342,0,0,1,1,4,0,6
2024,10,19,20241019,Rob Font,Red,USA,1,FALSE,Bantamweight,MALE,3,5.44,0.45,0.3,0.84,0.34,Orthodox,172.72,180.34,135,37,U-DEC,,3,300,900,0,0,3,6,1,0,10
2024,10,19,20241019,Charles Johnson,Red,USA,1,FALSE,Flyweight,MALE,3,4.77,0.5,0.4,0.56,0.23,Switch,175.26,177.8,125,33,U-DEC,,3,300,900,0,1,2,2,0,0,5
2024,10,19,20241019,Jake Hadley,Red,USA,0,FALSE,Bantamweight,MALE,3,3.8,0.43,1.1,0.33,0.11,Southpaw,170.18,177.8,135,28,U-DEC,,3,300,900,0,0,1,1,2,0,4
2024,10,19,20241019,Darren Elkins,Red,USA,1,FALSE,Featherweight,MALE,3,3.4,0.38,1.1,2.86,0.34,Orthodox,177.8,180.34,145,40,U-DEC,,3,300,900,0,2,9,4,3,0,18
2024,10,19,20241019,Matheus Nicolau,Red,USA,0,FALSE,Flyweight,MALE,3,3.31,0.51,0.8,1.22,0.43,Orthodox,167.64,167.64,125,31,U-DEC,,3,300,900,0,2,3,1,1,0,7
2024,10,19,20241019,Brad Katona,Red,USA,0,FALSE,Bantamweight,MALE,3,4.84,0.52,0,1.88,0.34,Orthodox,167.64,162.56,135,32,U-DEC,,3,300,900,0,0,4,0,0,0,4
2024,10,19,20241019,Joselyne Edwards,Red,USA,1,FALSE,Women's Bantamweight,FEMALE,3,4.48,0.52,0.6,1.23,0.39,Orthodox,172.72,177.8,135,29,SUB,Rear Naked Choke,3,273,873,0,2,2,0,0,0,4
2024,10,19,20241019,Jessica Penne,Red,USA,0,FALSE,Women's Strawweight,FEMALE,3,2.63,0.33,0.5,1.29,0.18,Orthodox,165.1,170.18,115,41,U-DEC,,3,300,900,0,2,0,1,3,0,6
2024,10,19,20241019,Melissa Martinez,Red,USA,1,FALSE,Women's Strawweight,FEMALE,3,3.9,0.52,0,0.5,0.5,Southpaw,157.48,167.64,115,27,U-DEC,,3,300,900,0,0,0,0,0,0,0
2024,10,19,20241019,Austen Lane,Red,USA,1,FALSE,Heavyweight,MALE,3,2.47,0.5,0,2.03,0.3,Orthodox,198.12,203.2,245,36,U-DEC,,3,300,900,0,0,0,1,0,0,1
2024,10,12,20241012,Brandon Royval,Red,USA,1,FALSE,Flyweight,MALE,5,4.46,0.39,1.2,0.75,0.75,Southpaw,175.26,172.72,125,32,S-DEC,,5,300,1500,0,2,0,1,3,0,6
2024,10,12,20241012,Brad Tavares,Red,USA,0,FALSE,Middleweight,MALE,3,3.43,0.43,0,0.74,0.26,Orthodox,185.42,187.96,185,36,S-DEC,,3,300,900,0,3,10,2,0,0,15
2024,10,12,20241012,Chidi Njokuani,Red,USA,1,FALSE,Welterweight,MALE,3,4.59,0.63,0.2,0,0,Orthodox,190.5,203.2,170,35,U-DEC,,3,300,900,0,1,0,3,0,0,4
2024,10,12,20241012,Grant Dawson,Red,USA,1,FALSE,Lightweight,MALE,3,3.15,0.52,1.2,3.65,0.38,Switch,177.8,182.88,155,30,KO/TKO,Punches,2,102,402,0,0,4,1,5,0,10
2024,10,12,20241012,Daniel Rodriguez,Red,USA,1,FALSE,Welterweight,MALE,3,7.5,0.49,0.1,0.59,0.54,Southpaw,185.42,187.96,170,37,S-DEC,,3,300,900,0,1,4,2,1,0,8
2024,10,12,20241012,CJ Vergara,Red,USA,0,FALSE,Flyweight,MALE,3,5.1,0.56,0.2,0,0,Orthodox,167.64,172.72,125,33,KO/TKO,Punch,1,170,170,0,1,1,2,0,0,4
2024,10,12,20241012,Jonathan Pearce,Red,USA,0,FALSE,Featherweight,MALE,3,5.12,0.54,0.8,5.02,0.5,Switch,182.88,180.34,145,32,SUB,Rear Naked Choke,1,246,246,0,0,2,3,1,0,6
2024,10,12,20241012,Themba Gorimbo,Red,USA,1,FALSE,Welterweight,MALE,3,3.11,0.61,0.6,4.89,0.65,Orthodox,185.42,195.58,170,33,U-DEC,,3,300,900,0,0,2,1,0,0,3
2024,10,12,20241012,Junior Tafa,Red,USA,1,FALSE,Heavyweight,MALE,3,3.36,0.49,0,0,0,Orthodox,190.5,190.5,240,28,KO/TKO,Punches,2,135,435,0,0,0,1,0,0,1
2024,10,12,20241012,Julia Polastri,Red,USA,1,FALSE,Women's Strawweight,FEMALE,3,5.57,0.54,0.6,1.11,0.8,Orthodox,157.48,160.02,115,26,S-DEC,,3,300,900,0,0,0,0,1,0,1
2024,10,12,20241012,Dan Argueta,Red,USA,0,FALSE,Bantamweight,MALE,3,2.48,0.43,1.4,4.36,0.35,Southpaw,170.18,172.72,135,31,U-DEC,,3,300,900,0,0,1,0,0,0,1
2024,10,12,20241012,Clayton Carpenter,Red,USA,1,FALSE,Flyweight,MALE,3,4.56,0.53,2.4,2.95,0.55,Orthodox,167.64,167.64,125,28,SUB,Rear Naked Choke,2,132,432,0,0,1,0,1,0,2
2024,10,5,2024105,Alex Pereira,Red,USA,1,TRUE,Light Heavyweight,MALE,5,5.46,0.63,0.3,0.14,1,Orthodox,193.04,200.66,205,37,KO/TKO,Punch,4,272,1172,0,1,1,6,0,0,8
2024,10,5,2024105,Raquel Pennington,Red,USA,0,TRUE,Women's Bantamweight,FEMALE,5,4.1,0.49,0.6,0.83,0.27,Orthodox,170.18,170.18,135,36,S-DEC,,5,300,1500,0,3,7,0,3,0,13
2024,10,5,2024105,Jose Aldo,Red,USA,0,FALSE,Bantamweight,MALE,3,3.62,0.46,0.1,0.49,0.53,Orthodox,170.18,177.8,135,38,S-DEC,,3,300,900,0,0,11,11,0,0,22
2024,10,5,2024105,Roman Dolidze,Red,USA,1,FALSE,Middleweight,MALE,3,3.16,0.42,1.1,1.33,0.42,Orthodox,187.96,193.04,185,36,KO/TKO,,1,300,300,0,1,2,4,0,0,7
2024,10,5,2024105,Ketlen Vieira,Red,USA,0,FALSE,Women's Bantamweight,FEMALE,3,2.92,0.41,0.6,1.39,0.44,Orthodox,172.72,172.72,135,33,U-DEC,,3,300,900,0,3,4,0,1,0,8
2024,10,5,2024105,Stephen Thompson,Red,USA,0,FALSE,Welterweight,MALE,3,4.11,0.46,0,0.25,0.41,Orthodox,182.88,190.5,170,41,KO/TKO,Punch,3,137,737,0,0,6,6,0,0,12
2024,10,5,2024105,Marina Rodriguez,Red,USA,0,FALSE,Women's Strawweight,FEMALE,3,4.64,0.46,0.2,0.28,0.5,Orthodox,167.64,165.1,115,37,S-DEC,,3,300,900,0,1,4,3,0,0,8
2024,10,5,2024105,Austin Hubbard,Red,USA,0,FALSE,Lightweight,MALE,3,4.12,0.43,0,1.54,0.34,Orthodox,177.8,180.34,155,32,S-DEC,,3,300,900,0,0,3,1,0,0,4
2024,10,5,2024105,Cesar Almeida,Red,USA,1,FALSE,Middleweight,MALE,3,4.12,0.57,0.3,0,0,Orthodox,185.42,187.96,185,36,U-DEC,,3,300,900,0,0,1,1,0,0,2
2024,10,5,2024105,Ryan Spann,Red,USA,1,FALSE,Light Heavyweight,MALE,3,3.3,0.4,1.7,1.32,0.35,Orthodox,195.58,200.66,205,33,SUB,Guillotine Choke,1,95,95,0,1,1,3,3,0,8
